Zip Code ,Population,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43759,57.0,,,,,,
43760,2138.0,433.0,106,34,20252.57,4957.9,1590.27
43761,49.0,,,,,,
43762,5997.0,1340.0,276,78,22344.51,4602.3,1300.65
43764,8750.0,1916.0,302,120,21897.14,3451.43,1371.43
43766,1543.0,282.0,58,19,18276.09,3758.91,1231.37
43767,986.0,355.0,74,14,36004.06,7505.07,1419.88
43768,497.0,37.0,5,,7444.67,1006.04,
43771,1895.0,495.0,112,32,26121.37,5910.29,1688.65
43772,1880.0,437.0,70,27,23244.68,3723.4,1436.17
43773,3668.0,581.0,117,41,15839.69,3189.75,1117.78
43777,4823.0,1170.0,239,99,24258.76,4955.42,2052.66
43778,1148.0,287.0,45,24,25000.0,3919.86,2090.59
43779,855.0,240.0,44,14,28070.18,5146.2,1637.43
43780,1697.0,514.0,96,26,30288.74,5657.04,1532.12
43782,673.0,163.0,23,7,24219.91,3417.53,1040.12
43783,4731.0,1027.0,209,66,21707.88,4417.67,1395.05
43786,35.0,,,,,,
43787,3111.0,499.0,94,27,16039.86,3021.54,867.89
43788,754.0,204.0,41,9,27055.7,5437.67,1193.63
43793,4901.0,1317.0,229,71,26872.07,4672.52,1448.68
43802,1008.0,240.0,37,9,23809.52,3670.63,892.86
43804,3786.0,360.0,32,8,9508.72,845.22,211.3
43805,81.0,,,,,,
43811,835.0,199.0,36,14,23832.34,4311.38,1676.65
43812,18640.0,4396.0,862,235,23583.69,4624.46,1260.73
43821,4389.0,1180.0,223,53,26885.4,5080.88,1207.56
43822,5115.0,1107.0,189,53,21642.23,3695.01,1036.17
43824,4116.0,394.0,68,23,9572.4,1652.09,558.79
43830,5775.0,1801.0,347,87,31186.15,6008.66,1506.49
43832,7349.0,1485.0,200,58,20206.83,2721.46,789.22
43836,108.0,19.0,,,17592.59,,
43837,1658.0,325.0,44,10,19601.93,2653.8,603.14
43840,1253.0,195.0,25,,15562.65,1995.21,
43842,330.0,98.0,13,7,29696.97,3939.39,2121.21
43843,1062.0,201.0,40,7,18926.55,3766.48,659.13
43844,3519.0,803.0,119,41,22818.98,3381.64,1165.1
43845,4607.0,1220.0,148,50,26481.44,3212.5,1085.3
43901,1984.0,448.0,83,37,22580.65,4183.47,1864.92
43902,116.0,46.0,14,,39655.17,12068.97,
43903,2108.0,335.0,54,15,15891.84,2561.67,711.57
43905,107.0,23.0,,,21495.33,,
43906,8643.0,1789.0,457,170,20698.83,5287.52,1966.91
43907,5760.0,1184.0,263,97,20555.56,4565.97,1684.03
43908,1599.0,236.0,35,8,14759.22,2188.87,500.31
43910,3208.0,716.0,134,36,22319.2,4177.06,1122.19
43912,6317.0,1353.0,302,98,21418.39,4780.75,1551.37
43913,1596.0,276.0,58,25,17293.23,3634.09,1566.42
43914,194.0,26.0,5,,13402.06,2577.32,
43915,1172.0,338.0,83,28,28839.59,7081.91,2389.08
